CCI ID,NAME,Hylak_id,Depth_avg,Lake_area
2351, Copp lake,4654,5.4,74.0
2809, Simpson lake,2408,17.3,65.79
1237, Finger lake,603,17.9,183.91
2109, lac a Jacques,2882,13.8,88.14
1249, Walker lake,544,6.4,134.7
2485, Zzzz,2577,14.0,75.03
2974, Kelsey lake,6764,1.0,27.85
3397, lac De Montigny,8377,9.7,95.88
1623, William lake,583,10.7,114.82
2245, Oak lake,8036,1.0,29.42
2326, Chip lake,6775,6.9,73.41
2421, Chitek lake,7204,1.9,55.1
2560, Witchekan lake,6835,1.8,55.16
3392, Magiss lake,7029,3.4,71.03
100000015,Little Playgreen lake,578,2.9,759.81
581, Split lake,479,12.2,280.54
1075, Last Mountain lake,657,11.6,213.92
2436, Weyakwin lake,6403,7.5,75.28
3231, Frog lake,6669,14.1,57.47
529, Oxford lake,532,15.1,338.65
1116, lake Rossignol,763,5.7,152.84
1540, Dunedelatue lake,222,12.1,115.22
1582, Night Hawk lake,712,13.5,109.21
1735, lac Malartic,714,11.2,112.12
2097, Pakwash lake,7721,12.4,86.77
2162, Gull lake,7191,4.6,79.28
2259, Baril lake,5140,1.0,56.49
2944, Redberry lake,7120,6.8,49.44
391, lac Ile-a-la-Crosse,493,19.0,431.88
2021, Lawford lake,6415,4.3,83.85
2263, Kazan lake,5985,2.9,81.77
3523, Wabimeig lake,7449,2.1,49.15
337, Stephens lake,477,8.0,316.85
633, lake Timiskaming,737,51.1,204.0
797, Red Sucker lake,567,8.3,236.41
940, lake Laberge,365,55.7,197.68
1169, Wabigoon lake,685,16.6,178.83
1706, Rocky lake,577,7.9,111.44
1832, North Wabasca lake,484,10.6,101.2
1989, Dog lake,647,2.3,113.63
2117, Birch lake,4089,5.7,85.94
2179, Semmens lake,6164,3.6,81.78
2262, Dezadeash lake,4620,24.3,77.73
2418, Turtle lake,6830,4.9,67.43
2447, Margaret lake,5055,13.5,78.85
2495, Clive lake,3777,3.6,64.23
2673, Whitemouth lake,8136,2.8,68.57
2709, Arsenault lake,6152,32.2,67.25
2960, Caribou lake,2455,17.4,60.65
2970, lake Newell,7837,1.9,61.28
3040, Katimik lake,7055,5.9,48.32
3133, Kilekale lake,2782,4.3,59.2
3135, Wuskwatim lake,6020,9.7,72.59
3570, Colen (western part of),6413,11.2,86.0
3587, Cardinal lake,5779,3.6,48.82
3604, Basin lake,7142,3.1,34.5
2595, Waskesiu lake,6632,22.1,70.12
3188, lac Ste Anne,6734,7.2,55.83
3243, Kingsmere lake,6603,20.6,59.25
356, Sandy lake,604,30.0,483.51
474, Pinehouse lake,500,21.7,379.1
904, Waswanipi lake,690,16.1,204.14
977, Reed lake,550,9.5,189.95
2064, Kaweenakumik lake,7057,3.9,75.32
2276, Kotcho lake,5043,3.3,81.24
2330, Hargrave lake,6418,5.6,78.36
976, Bartlett lake,320,4.4,180.54
1818, lake Manitou,750,15.8,106.04
2420, Waterhen lake,6411,9.2,84.72
3002, Parsons lake,2260,4.9,62.96
3446, Rufus lake,2149,7.9,54.96
399, Grand lake,702,50.0,496.96
486, Trout lake,646,16.7,347.42
1425, Wasekamio lake,467,12.8,368.98
2192, Buffalo lake,7209,3.9,86.19
2335, Birch lake,3411,3.1,74.88
2368, Big Sandy lake,6444,3.7,81.22
2544, Lenore lake,7175,2.9,74.84
3079, Garson lake,5763,2.8,57.85
3529, Brackett lake,3135,3.0,49.05
447, Kluane lake,363,102.1,397.6
555, lac des Quinze and lac Simard,733,28.2,328.99
949, Namew lake,581,11.3,418.81
1071, Kesagami lake,665,5.8,175.21
1640, Davy lake,433,5.0,111.07
1908, Sled lake,6414,7.4,94.4
2323, Peerless lake,470,13.4,123.6
2731, Muriel lake,6545,17.0,68.49
363, Granville lake,471,33.0,419.54
771, Wasekamio lake,467,12.8,368.98
1424, Goose lake,559,9.9,135.35
1910, Pigeon lake,7014,10.0,97.41
849, Blackwater lake,286,29.4,215.7
1676, Egg lake,527,11.0,130.68
1815, Little Sachigo lake,571,7.2,101.5
2477, Wellesley lake,4020,23.2,74.44
137, Cree lake,36,14.9,1155.15
1053, Athapapuskow lake,552,17.8,255.67
1524, Gordon lake,472,6.0,116.45
1547, Crean lake,574,19.5,125.02
1703, Kistigan lake,6334,3.8,99.95
200, lake Abitibi,707,3.5,946.77
1058, Mamawi,441,1.8,145.6
1062, Wekusko/Wekisko lake,535,27.7,175.34
2102, Mawdesley lake,6596,1.4,81.71
2594, Jackfish lake,6993,9.0,71.7
1489, Winefred lake,506,12.2,126.16
2130, Tadenet lake,2336,15.7,85.71
301, Cross lake,520,9.0,514.0
1576, Lac Ste Therese,275,9.4,115.14
2470, Richardson lake,5246,2.3,77.39
311, Atlin lake,419,85.5,589.46
566, Amisk lake,558,20.4,343.6
624, Swan lake,618,5.5,307.92
804, Sachigo lake,584,11.5,228.1
908, lac la Loche,475,9.2,208.0
1221, Pelican lake,620,4.8,154.84
1375, Candle lake,586,9.0,131.68
1594, Suggi lake,561,6.3,120.72
754, Cumberland lake,581,11.3,418.81
805, lac la Biche,531,19.6,238.98
837, Waterhen lake,632,2.7,160.03
1629, Bulmer lake,331,5.5,111.63
733, Kiskitto lake,564,5.2,174.68
1003, Talbot lake,569,8.8,184.36
501, Stuart lake,557,66.4,357.88
545, Cormorant lake,568,9.9,338.73
1019, Mahoney lake,254,17.8,183.26
1222, Beaverhill lake,594,1.0,120.7
1359, Wanapitei lake,742,30.3,133.21
430, Faber lake,301,22.0,403.03
1945, Keeley lake,6236,10.8,92.79
713, Tobin lake,589,8.4,261.09
100000014,Playgreen lake,578,2.9,759.81
1666, Travaillant lake,221,25.8,112.85
458, Bistcho lake,414,10.2,411.04
779, Wapawekka lake,534,9.5,242.17
1370, Calling lake,523,21.1,138.13
491, lake Aubry,227,26.3,376.12
1009, Missisa lake,622,5.5,182.8
538, lake St Martin,635,3.2,331.34
454, Molson lake,565,11.2,394.73
1510, Quill lakes,629,3.1,154.47
333, Black lake,425,25.0,443.84
405, Montreal lake,554,6.3,456.42
339, lake Hazen,179,93.9,547.21
367, Trout lake,386,32.2,498.87
669, Utikuma lake,494,2.9,253.72
910, Canoe lake,521,19.1,189.02
68, Wollaston lake,32,20.2,2269.59
635, lac Belot,231,22.9,294.88
72, Southern Indian lake,37,10.1,2307.45
569, Kakisa lake,377,14.7,333.45
810, lac la Plonge,524,15.7,238.32
672, Smoothstone lake,545,21.9,277.7
684, Kiskittogisu lake,553,8.1,358.57
103, Williston lake,40,43.2,1718.79
172, God's lake,44,13.5,1024.08
782, Pasfield lake,445,8.9,235.33
303, North Moose lake,48,4.1,1311.82
299, Buffalo lake,397,0.9,553.24
423, lac Saint Pierre/Saint Peter lake,744,3.1,333.51
667, Sitidgi lake,219,14.9,289.13
326, Deschambault lake,537,6.2,543.74
728, Red Deer lake,614,5.3,260.08
225, South Moose lake AND Lamb lake,48,4.1,1311.82
558, Old Wives lake,673,3.8,304.07
420, Mills lake,594073,2.2,0.15
281, Dore lake,547,10.9,627.55
540, lac Maunoir,224,25.2,335.79
646, Clearwater lake,570,8.7,283.92
323, Churchill lake,499,7.5,543.87
400, lac des Bois,230,14.2,458.53
730, Quill lakes West,631,3.3,272.89
409, Primrose lake,536,9.8,436.35
508, Cold lake,551,43.6,346.85
127, lac la Ronge,41,12.7,1296.47
426, Colville lake,228,14.5,448.2
28, Reindeer lake,38,17.0,5435.48
38, lake Nipigon,58,55.0,4505.95
465, Keller lake,291,8.0,391.42
236, lake Simcoe,759,13.4,767.03
351, Dauphin lake,641,2.3,515.73
147, Lesser Slave lake,42,11.4,1186.51
198, lake Nipissing,745,4.5,878.3
125, lake Claire,34,1.3,1332.93
100, lac la  Martre,27,10.0,1679.89
222, Peter Pond lake,498,11.5,827.51
57, Cedar lake,51,3.9,2504.26
316, Tathlina lake,387,1.0,560.63
31, lake Winnipegosis,52,3.2,5035.51
158, lac Saint Jean,59,11.0,1112.79
37, lake Manitoba,53,3.6,4751.05
23, lake Athabasca,33,20.6,7528.73
9, Great Bear lake,2,72.2,30450.64
13, lake Winnipeg,4,11.9,23923.04
11, Great Slave lake,3,59.1,26734.29
3150, lago Ofhidro,10686,24.4,50.89
2073, lago Sarmiento,10668,34.0,81.54
1583, lago Calafquem,983,58.9,114.62
2518, lago Balmaceda,10674,5.9,72.53
962, lago del Toro,1003,61.6,189.63
2228, lago Anibal Pinto,10675,11.5,82.08
831, Rupanco lake,989,92.3,231.32
1207, lago Puyehue,988,52.0,157.24
1195, lago Blanco,1005,44.4,144.31
1109, lago Villarrica,982,49.3,171.69
416, lago Ranco,987,80.6,426.6
209, lago Llanquihue,992,184.1,861.27
790, Ulansu lake/Wuliangsu lake,1314,1.0,327.2
2315, Beidagang reservoir,1368343,1.1,0.3
970, Baitu lake and Caizi lake and Xizi lake and Daisai lake,15270,2.8,71.47
2701, Daxi Haizi reservoir,14521,1.0,37.03
3476, Shitou Koumen reservoir,14316,25.8,58.11
1597, Yangcheng lake and Yangcheng West lake,1438,1.7,124.24
1618, Miyun reservoir,1317,36.0,121.66
2881, Chamu lake,14988,7.3,67.75
3111, Luotuo lake,14972,16.1,61.93
3045, Xuejing lake,14847,10.5,46.8
1504, Zhelin reservoir,1472,39.2,201.81
2475, Yuye lake,14845,7.8,80.39
2649, Chihu lake,15341,4.4,36.26
3534, Garkung lake,15010,3.5,38.83
2203, Sengli lake,15292,10.4,81.06
2613, Nyi lake,14960,7.8,38.37
3156, Yurba lake,14871,13.1,49.9
3343, Pongyin lake,15070,3.0,48.63
3539, Baidoi lake,15076,3.6,39.94
300001257,Huoshaohei lake and Tahlag lake and Yamenqi lake and Aobao lake and  Xiaoshang lake and Alqagtai lake and Talahong lake and Delong lake and Yangcaohao lake and Beiqin lake and Amuta lake and Yamenxi lake,1257,5.2,429.94
1107, Junshan lake,1476,7.5,151.81
1979, Zhangdu lake,15282,1.4,36.49
2517, Guanting reservoir,14551,25.2,90.08
531, Liangzi lake,1458,7.4,302.36
1503, Changhu lake,1456,2.9,128.23
1806, Aru lake,1397,16.1,104.73
1917, Xiangyang lake,14864,10.5,87.44
2116, Qagoi lake,15163,30.7,88.15
2786, Zzzz,14872,8.0,53.69
2018, Yueliang lake,14177,2.1,98.83
2138, Quemo lake,15013,9.8,80.93
2361, Margog lake,15014,2.3,67.52
2511, Meiriqiecuomari,15026,5.4,63.34
2877, Margai lake,14913,3.2,81.87
2946, lake Ngoin,15191,4.8,70.3
1358, Futou lake,1462,5.2,101.95
1445, Bairab lake,1379,8.0,121.34
1652, Daggyai lake,1465,18.3,110.98
1993, Xiashan reservoir,14821,3.9,99.99
3020, Keluke lake,14765,1.7,54.33
1354, Memar lake,1391,8.0,127.93
1684, Suqian lake,1331,8.2,102.62
1835, West Taiji Nai'er lake,14735,1.3,64.61
1967, Burog lake,14977,35.1,87.28
2415, Cuoda Rima lake,14898,3.7,53.86
2569, Serbug lake,15146,4.9,61.22
3078, Ngoinyar lake,15062,2.5,57.1
1270, Bohu lake,1460,5.7,128.37
1336, Bong lake,1441,38.3,144.14
1970, Mugqu lake,15232,10.0,81.23
2304, Yanghu lake,14894,6.2,59.34
2819, Telashi lake,14940,3.7,53.82
3044, Yibug lake,15063,1.7,64.98
3394, Dangqiong lake,15180,8.8,54.07
1928, Heishi North lake,14884,9.9,91.01
1971, Gomang lake,1444,14.6,101.75
2156, Changdang lake,15184,2.2,83.49
2316, Suyahu reservoir,15064,21.3,77.81
2611, Neri Pun lake,15208,3.5,75.95
3201, Rola lake,14895,3.2,64.77
681, lake Ngoin,1429,37.9,267.15
1619, Chem lake,1395,20.0,113.96
767, Erhai lake,1479,40.0,242.26
1382, Dung lake,1427,11.9,134.17
1730, Ringco Kongma lake and Ringco Ogma lake,1448,5.3,102.74
1871, Lungmu lake,14954,10.6,97.7
2104, Datong lake,15381,2.3,80.79
1205, Daihai sea,14520,2.7,86.94
1206, Dushan lake,1383,1.1,237.73
1283, Mucuo Bingni,15277,15.5,84.68
1421, Nanhu lake,1446,4.7,145.01
1653, Xi Aohaizi reservoir,1325,8.4,102.82
1790, Yaggain lake,1411,5.1,106.31
1812, Taiyang lake,1364,11.0,100.81
1827, Lagkor lake,15142,22.9,93.66
2238, Barkol lake,14332,1.6,32.43
2720, Gomo lake,15025,1.7,24.37
1417, Beihuo Luxun lake,14800,1.6,82.42
2305, Salt Water lake,14901,7.6,86.02
1130, Tousu lake,1350,9.9,142.97
2202, Cam lake,15135,5.8,93.44
629, Dabuxun lake,1353,2.0,321.88
2048, Linggo lake,1402,12.8,101.5
819, Donggei Cuona lake,1371,42.7,231.17
1323, Palung lake,1451,15.1,141.17
1432, Pung lake,1433,12.2,148.14
1534, Dawa lake,1443,11.3,105.95
1807, Jieze lake,1401,19.7,105.06
354, Ngangla Ringco,1431,10.0,498.06
708, Honghu lake,1464,2.2,215.13
924, Cuorendejia,1375,16.0,198.59
1557, Gasi Kule lake,1339,3.5,123.0
755, Chabyer lake,1437,2.3,146.74
1096, Aksayquin lake,1373,9.6,165.96
1658, Dongping lake,1359,8.2,139.85
990, Gehu lake,1434,2.9,161.56
1066, Bam lake,1440,18.3,200.64
1785, East Tsaiji Nai'er lake,1347,2.4,204.51
1063, Hada Naihaolai,1228,7.2,167.65
539, Longgan/Longhu lake,1463,5.5,302.31
596, Danjiangkou reservoir,1417,72.9,286.45
1044, Jingyu lake,1357,4.1,225.85
609, Kekexili lake,1369,12.6,300.1
623, Daguan lake and Huanghu lake,1461,6.0,261.58
736, Kusai lake,1367,16.6,261.4
812, Lexie Wudan lake,1366,16.7,220.78
876, Weishan lake/Nansi lake,1388,3.0,175.3
892, Fuxian lake,1485,65.3,215.37
1192, Kyebxang lake,1419,8.2,149.16
520, Chibzhang lake,1404,25.7,472.55
627, Dianchi pool,1483,19.7,298.34
718, Gozha lake,1378,35.7,248.04
791, Shijiu lake,1436,3.7,206.35
536, Bangong lake,1403,50.0,332.93
685, Paiku lake,1474,58.3,277.69
1079, Cuona lake,1424,33.7,188.28
592, Lumajangdong lake,1399,45.1,347.02
639, Xijir Ulan lake,1374,5.5,269.64
676, Rakshastal/La'nga lake,1452,32.5,261.27
1031, Chagan lake,1286,2.7,246.95
456, Wulanwula lake,1386,19.3,372.84
649, Puma yumco lake,1477,36.4,283.19
913, Xuru lake,1457,36.3,205.49
1174, Jili lake,1250,20.9,165.81
1891, Dogaicoring Quangco lake,1372,6.4,208.99
827, Dali Nuo'er,1300,7.7,213.64
382, Qyaring lake,1439,32.1,477.0
725, Dogai Coring lake,1389,22.5,268.13
489, Dorsoidong lake,1405,20.0,378.99
983, Rinqin Xub lake,1442,18.8,182.53
989, Zige Tang lake,1422,12.7,207.16
444, Ngangze lake,1447,8.7,389.33
543, Urru lake,1428,19.2,346.7
620, Dongting lake and Luhu lake,1470,3.0,143.81
287, Gaoyou lake and Shaobo lake,1416,7.9,703.14
1430, Luoma lake,1396,3.9,247.63
383, Taro lake,1445,34.1,473.71
732, Zhuonai lake,1370,14.7,255.38
744, Dagze lake,1425,8.5,251.56
215, Tangra Yumco,1450,120.0,825.06
511, Aqqikkol lake,1352,13.6,354.71
233, Chaohu lake,1430,2.6,786.91
78, Poyang lake and Jinxi lake,151,6.8,2398.32
300, Eling lake/Ngoring lake,1377,17.4,617.76
312, Ayakkum lake,1344,10.0,616.34
297, Ebinur lake,1290,1.4,564.86
439, Mapam Yumco lake,1454,44.8,413.6
109, Hung-tse lake,145,9.8,1374.36
336, Gyaring lake/Zhaling lake,1385,9.0,520.58
407, Sayram lake,1295,24.1,460.42
179, Zhari Namco,1449,25.0,958.1
181, Bosten lake,1304,9.1,961.84
302, Hala lake/Har lake,1336,30.0,585.6
239, Ulungur lake,1245,8.0,854.89
75, Hulun lake,123,6.2,2121.43
105, Siling lake,147,28.0,1749.53
91, Nam lake,149,44.4,1963.82
66, Taihu lake,148,2.2,2329.14
41, Qinghai lake,143,16.8,4266.55
1774, lac Kabele,1618,1.9,116.17
613, lac Tshangalele,1622,7.1,179.64
917, lac Zimbambo,1615,1.0,164.56
1046, lake Kabamba,1614,2.0,108.91
1801,lac  Kabwe,16111,1.0,97.97
674, lake Kisale,1616,2.6,298.23
90, lac Mai-Ndombe,164,17.7,2316.21
255, lac Tumba,1590,4.0,744.89
314, lake Upemba,1617,1.5,607.97
2124, lake Awasa,15887,5.1,86.8
1584, lake Afrera,1539,13.2,123.6
2395, lake Caddabassa,15827,26.6,91.6
616, Chomen lake,1555,3.6,179.62
1157, Koka lake,1560,12.6,150.3
1146, Abijata lake,1564,3.6,164.71
579, Chamo lake,1575,26.9,312.04
604, Shala lake,1565,79.6,307.79
829, Langano lake,1563,22.1,229.28
445, Ziway lake,1562,13.9,411.96
166, Abaya lake,157,7.4,1084.75
55, lake Tana,154,9.3,3059.34
2054, Vuohijarvi,1138,31.3,168.62
1061, Nilakka,1110,17.9,285.78
657, Hoytiainen,1111,28.9,283.48
1201, Vanajavesi,1140,12.2,161.56
1246, Lappajarvi,1105,17.0,144.44
157, Paijanne,98,14.0,1270.47
1240, Pyhajarvi,1146,20.7,153.02
195, Pielinen,1113,9.9,937.09
376, Lokka reservoir,1049,4.5,321.87
202, Oulujarvi,1089,7.0,889.77
2317, Chiemsee,13970,7.7,75.05
1649, Muritz,1187,8.5,107.94
3211, Boye So,2074,37.4,56.36
1099, Zzzz,261,52.7,170.06
