,obs_mean,obs_summer_mean,obs_warmest_mean,obs_coldest_mean,obs_ice_duration,obs_cloud_mean,obs_cloud_summer_mean,obs_cloud_warmest_mean,obs_cloud_coldest_mean
300014249,10.939844919160524,21.53283879515056,22.71403417553101,0.14250620277004813,69.86666666666666,14.252338421277432,21.750292580861753,22.803503047285737,0.10993546427034356
300011666,4.1017837357063245,11.150198288925637,13.38494733100519,-0.00034179687497720013,194.2,5.329481675200448,11.149735660198301,13.711733522296305,-0.00034179687497720013
300012336,5.314154402734092,14.16502339874491,16.371150680596706,-0.00034179687497720013,174.73333333333332,7.545212152836695,14.771622972334612,16.851480025251075,-0.00034179687497720013
300012654,6.7262433705426155,14.911776226154299,18.001699316373454,8.401688033593931e-05,112.26666666666667,8.602185712420416,15.17768108102703,18.583517499675246,-0.00034179687497720013
300001028,1.9547589810376216,5.67340167547772,9.414687087629886,-0.00034179687497720013,264.6,2.00422343364872,5.406539444551962,9.612353797901754,-0.00034179687497720013
300010750,1.3953624543739511,4.638834304164598,7.882244487475348,-0.00034179687497720013,288.1333333333333,1.2787244589719937,5.996360126399941,8.187133569276916,-0.00034179687497720013
300010784,1.6639682413416939,5.55415450939236,9.511051131491188,-0.00034179687497720013,284.26666666666665,1.8248382883974967,7.606002435928759,10.434847760964583,-0.00034179687497720013
300010974,1.8209620901925987,5.3794493048663545,8.777434945875624,-0.00034179687497720013,259.8666666666667,1.5721828311322914,5.628444208480718,9.216333680585278,-0.00034179687497720013
300012874,3.6950693680549542,11.111603434551549,14.83055764808025,-0.00034179687497720013,237.33333333333334,3.8340043677925193,11.740096109074871,15.192245410639858,-0.00034179687497720013
300012886,5.602683890752879,16.493236922296372,18.557404251098657,-0.00034179687497720013,201.2,7.5248469137528335,17.846079498663904,19.71950656621495,-0.00034179687497720013
300013242,4.919793801894574,14.3289899296231,17.12129366611497,-0.00034179687497720013,196.8,6.72566305769706,14.290869101573193,17.30112055911,-0.00034179687497720013
300013551,4.2844264571377,10.454982433226974,15.352294443328772,-0.00034179687497720013,182.46666666666667,5.7676087368630915,10.311744658820528,15.340670595388957,-0.00034179687497720013
300013762,2.4556675353087885,7.333255913407354,11.26715877765398,-0.00034179687497720013,257.46666666666664,2.4545960758914696,8.006614502369642,11.320914347708598,-0.00034179687497720013
300001205,3.3976251632807632,9.00370813959465,12.870294915476181,-0.00034179687497720013,216.13333333333333,3.8668469550082483,8.73938679277535,12.920365983298543,-0.00034179687497720013
