cci_lake_id,a2w_mean,a2w_warmest_mean,a2w_coldest_mean,a2w_ice_days_0,a2w_ice_days_076,a2w_cloud_mean,a2w_cloud_warmest_mean,a2w_cloud_coldest_mean,a2w_cloud_ice_days_0,a2w_cloud_ice_days_076,a2w_diff_mean,a2w_diff_warmest_mean,a2w_diff_ice_days_0,a2w_diff_ice_days_076,lstm_mean,lstm_warmest_mean,lstm_coldest_mean,lstm_ice_days_0,lstm_ice_days_076,lstm_cloud_mean,lstm_cloud_warmest_mean,lstm_cloud_coldest_mean,lstm_cloud_ice_days_0,lstm_cloud_ice_days_076,lstm_diff_mean,lstm_diff_warmest_mean,lstm_diff_ice_days_0,lstm_diff_ice_days_076,a2w_pval_mean,a2w_pval_warmest_mean,a2w_pval_coldest_mean,a2w_pval_ice_days_0,a2w_pval_ice_days_076,lstm_pval_mean,lstm_pval_warmest_mean,lstm_pval_coldest_mean,lstm_pval_ice_days_0,lstm_pval_ice_days_076,a2w_lhw_n_events,a2w_lhw_intensity,a2w_lhw_duration,a2w_cloud_lhw_n_events,a2w_cloud_lhw_intensity,a2w_cloud_lhw_duration,lstm_lhw_n_events,lstm_lhw_intensity,lstm_lhw_duration,lstm_cloud_lhw_n_events,lstm_cloud_lhw_intensity,lstm_cloud_lhw_duration
3045,1.6250387131182762,7.643701444786323,0.0,254.55714285714285,263.252380952381,1.6282398067875665,7.585527821663858,0.0,251.45714285714286,260.8857142857143,0.0032010936692903336,-0.058173623122465656,-3.0999999999999943,-2.3666666666666742,1.6844617483175555,8.023786216172045,-0.029189317899511076,96.26190476190477,262.6619047619048,1.6654521940777098,7.918813657945212,-0.059232440918960724,115.1238095238095,262.75714285714287,-0.019009554239845627,-0.10497255822683282,18.861904761904725,0.09523809523807358,0.535536137831421,0.05349906604561788,,2.694276326038772e-05,4.502285714933934e-05,0.4966760828216057,0.3359736687977891,0.49162218207637776,0.5994218645285174,0.853674765827155,15.6,1.1405902567087693,12.889860066833752,15.1,1.2460023801776634,13.948471683545213,17.5,1.423982909290295,13.7722444946358,17.8,1.65036559104135,12.01751148705096
1504,18.044494684410264,29.629560472095484,5.762613911498342,0.0,0.0,18.26893298237753,30.034317103765694,5.817383118060038,0.0,0.0,0.22443829796726789,0.40475663167021025,0.0,0.0,18.094720376720993,29.522582968049157,5.551252066813655,0.0,0.0,17.741934561397134,29.167957418228365,6.024291119458828,0.014285714285714285,0.019047619047619046,-0.352785815323859,-0.354625549820792,0.014285714285714285,0.019047619047619046,3.34562786576136e-10,2.751911675314931e-11,0.10537979222596039,,,0.0025745863968132557,0.0017174573056710541,0.015058911598687642,0.330564931278184,0.3305649312781842,55.5,2.7827303340692757,7.106672986946786,57.9,2.7487606741802475,7.216512041077965,33.3,3.5493531556853375,7.550135281385282,28.2,4.039402057444074,6.5703040205981385
2475,1.572216839935912,7.852133495742893,0.0,261.88095238095235,269.9714285714286,1.5749803723335964,7.845114788841945,0.0,258.11428571428576,267.4571428571428,0.002763532397684454,-0.0070187069009479686,-3.7666666666665947,-2.5142857142857906,1.639336771482503,8.201620192416282,-0.029780268706839707,119.35238095238097,266.80952380952374,1.6055794950676738,8.124970437448027,-0.06253519430955859,125.1,267.0,-0.03375727641482906,-0.07664975496825477,5.747619047619025,0.19047619047626085,0.690909969195137,0.8412936030186781,,0.0029633382489208954,0.0011156205231848389,0.3315301423028,0.33439628107121,0.17121551130002485,0.8634151431135542,0.8534048769468683,14.6,1.5241609878560323,13.86214983846563,13.9,1.5330243549160634,13.782050743374274,18.6,1.5178966862834289,15.930871940226059,16.1,1.6855578127561457,13.658121118217867
2649,17.995463416123265,29.69701561262504,5.273591236314301,0.3190476190476191,0.9333333333333332,18.222077877258926,29.891197679899392,5.699069736494582,0.0,0.08095238095238096,0.22661446113566086,0.19418206727435106,-0.3190476190476191,-0.8523809523809522,18.094720376720993,29.522582968049157,5.551252066813655,0.0,0.0,17.775140313122556,29.298599811981568,5.802416171239075,0.0,0.0,-0.31958006359843694,-0.22398315606758956,0.0,0.0,2.3624595363864455e-07,0.020862883093403322,0.011805169826154736,0.06618106959021586,0.05558376222105626,9.171495330712544e-06,0.019254788543406256,0.00542928997896828,,,63.3,3.439615476560231,7.400572738288121,59.4,3.172682019662375,7.266355084941857,33.3,3.5493531556853375,7.550135281385282,31.2,3.918624989151808,6.638009570250949
3534,2.2340167377220492,9.650033515440178,0.0,241.04285714285714,248.32380952380953,2.20905862459952,9.408110891218225,0.0,238.26190476190476,245.98095238095237,-0.02495811312252938,-0.241922624221953,-2.7809523809523853,-2.342857142857156,2.2491892116557035,10.163887691362522,-0.06524174152176443,164.35714285714286,249.1761904761905,2.268515243895613,10.065924411807988,-0.08486737766534037,111.58571428571429,247.57142857142853,0.019326032239909363,-0.09796327955453421,-52.77142857142857,-1.604761904761972,0.0022508643138353544,0.0038507733590835607,,2.9959794060495474e-05,9.668621657034487e-05,0.48146593672549354,0.27634543379459464,0.6327319404679397,0.0781725800197573,0.04024835738422974,16.9,0.6935787611366782,11.316529067767457,18.8,0.5424262080103117,13.511754385964911,23.5,1.5191328711078635,8.964726743770973,25.2,1.5751926127420801,8.526641264518252
2203,1.815855156304949,7.491012607443727,0.0,233.18571428571425,242.80476190476193,1.7723805334556424,7.158518180341938,0.0,228.73333333333335,239.5619047619047,-0.04347462284930659,-0.3324944271017891,-4.452380952380906,-3.2428571428572184,1.873925058712286,7.678423481080901,-0.02387689907395075,93.68571428571428,237.71904761904761,1.8958489303412396,7.720770732854069,-0.07082151989172045,117.9952380952381,234.78571428571428,0.021923871628953595,0.042347251773168004,24.30952380952381,-2.933333333333337,3.741486835460373e-05,1.5392112981098786e-09,,3.8011673063036924e-05,5.765901484429843e-05,0.2851304914082716,0.39362927469371645,0.09515125481020378,0.37834831061108487,0.04620956894009431,20.1,0.3518179818281468,10.90945277632584,19.5,0.3296203363690895,10.356459715465133,24.3,1.0133278255785514,10.709962063701193,24.6,1.1632967732443968,10.31585972507025
2613,1.7589335831825559,8.13335895005078,0.0,253.44761904761899,260.59523809523813,1.7321617986181983,7.918180253886464,0.0,248.70476190476188,257.73809523809524,-0.02677178456435758,-0.21517869616431629,-4.742857142857105,-2.8571428571428896,1.7644883392785389,8.454101809142347,-0.06948601181100916,107.1047619047619,263.1666666666667,1.8120399892452574,8.590165993325652,-0.038677403466417466,100.7952380952381,261.352380952381,0.04755164996671857,0.13606418418330435,-6.309523809523796,-1.8142857142856883,1.527525436990818e-05,0.00017487892040461846,,3.782672408458768e-06,0.00017310520152093574,0.10598014821679637,0.21857319604010272,0.4122851848494222,0.8526065505461488,0.023573244012692878,15.4,1.0446477166452375,11.640262605042016,14.5,0.8981138302370416,14.008420599008835,24.1,1.4268310827824147,10.809142362025565,19.9,1.6444630869232342,10.04077811077811
3156,1.5388368303125608,7.345528494196157,0.0,255.9904761904762,265.20952380952383,1.5276626981162305,7.234145264215462,0.0,253.75714285714284,263.6809523809524,-0.011174132196330344,-0.11138322998069494,-2.2333333333333485,-1.5285714285714107,1.618985842677456,7.719503734445468,-0.03135118565827222,114.84285714285716,263.6619047619048,1.5940067954283215,7.574146036247825,-0.06942809945602155,125.89999999999998,262.0428571428571,-0.024979047249134467,-0.14535769819764255,11.057142857142821,-1.6190476190477057,0.01528927157243082,4.319759916054893e-05,,0.0003579551546814316,0.0012503224279134888,0.4852277924954185,0.08001140602992939,0.060638151511624834,0.7242645946256605,0.3353439002550691,,,,,,,,,,,,
3343,2.5232041896584323,10.220329176318664,0.0,232.28095238095239,239.36190476190478,2.473503098777783,9.781398557620605,0.0,227.45714285714286,235.48571428571427,-0.049701090880649446,-0.43893061869805905,-4.82380952380953,-3.8761904761905157,2.548751705831684,10.764950317842807,-0.02962396523613533,105.8,240.3238095238095,2.5193219738139785,10.614652043364055,-0.0782068584599438,134.28571428571428,237.9904761904762,-0.02942973201770549,-0.150298274478752,28.48571428571428,-2.3333333333333144,7.005278699575078e-07,1.1141699708670775e-10,,3.4808942573978033e-07,4.696325612825532e-07,0.4054760884212154,0.10422046326193955,0.05155453449911658,0.34174150742575593,0.03494278910999949,17.6,0.4535403509524653,16.047678018575855,18.9,0.32771573550852645,16.01493476337904,25.1,1.449062984418294,9.85794191781606,22.6,1.4527289557762473,10.245171451355661
3539,2.5022761912628386,10.152121116272673,0.0,232.69523809523807,239.73809523809524,2.435008524888377,9.730842027244979,0.0,229.28095238095239,237.11428571428573,-0.06726766637446158,-0.42127908902769384,-3.4142857142856826,-2.6238095238095127,2.492279672200223,10.78607927093702,-0.0644249913416218,144.0,241.92857142857142,2.5388428351663563,10.830733312549924,-0.05049706997515815,117.76666666666665,240.76666666666665,0.04656316296613339,0.04465404161290465,-26.23333333333335,-1.1619047619047649,8.712501804428091e-07,2.191342619086432e-06,,0.0021362330308026273,0.010794052118102653,0.30915012470955056,0.779230790812331,0.7132038544835252,0.4925096072460825,0.31177383334157127,18.4,0.48429966504875355,16.622857142857143,18.4,0.41409932938600547,15.08767722473605,23.8,1.4880647415864048,8.998403572864213,22.3,1.5562843530832657,8.879308308650414
