,a2w_full,a2w_cloud,lstm_full,lstm_cloud,obs_full,obs_cloud,lake_id
25%,22.96386642292653,23.04473406914134,23.432411,23.523409,23.271831758611768,23.44758231735706,2724
50%,25.388276699418547,25.41813761799873,25.832869,25.892952,25.557173287594598,26.026658669414303,2724
75%,27.438655078333653,27.336807212945867,27.532515,27.496548,27.408993488373653,27.42103191680791,2724
95%,28.7262313606276,28.498665092307974,28.370258,28.285902,28.57667290287253,28.493549305210347,2724
5%,26.739591571062835,26.64386884689633,27.144989,27.214836,27.070792770385765,27.175445175170942,3132
25%,27.57108154012761,27.56505043660773,27.681051,27.711004,27.59057197570803,27.692361768086784,3132
50%,28.17709008573573,28.25103591251559,28.02695,27.944145,27.924896494547568,27.99694658915206,3132
75%,28.887244731697148,28.993735364725804,28.269112,28.240944,28.359527842203818,28.457788085937526,3132
95%,29.859079351380064,30.09184603790052,28.471336,28.48575,29.13899701436361,29.151613171895352,3132
5%,17.300523409391474,17.258919355140083,17.593618,17.672222,17.48250859578451,17.437941169738792,1218
25%,18.99557980173684,18.82501226823788,19.030602,18.96933,18.75237681070968,18.59346176783248,1218
50%,20.06725087215917,19.933515214744467,20.519062,20.514257,20.358968353271507,20.271823819478357,1218
75%,21.015189648744425,20.81385979973862,21.083323,21.08328,21.02260678609213,21.022095139821392,1218
95%,22.410551896081916,22.086930588268217,21.478815,21.490875,21.64257965087893,21.576840178171835,1218
5%,17.427196139786016,17.314999170654854,18.072573,18.302467,18.039961751302087,18.127133305867524,1943
25%,19.66664591593929,19.90268113450332,19.745367,19.62073,19.62640024820968,20.906387583414755,1943
50%,23.378665522830406,23.475755446390547,22.926067,23.164362,22.76203053792324,24.03919881184896,1943
75%,25.098963919324877,25.08027995886189,24.780848,24.802269,24.709740575154623,25.237674013773614,1943
95%,26.29548959043357,26.807951761233287,25.937922,25.944174,26.29214312235524,26.497714106241897,1943
5%,26.66732655718167,26.89117537920044,27.177006,27.237602,27.070792770385765,27.156965891520223,2111
25%,27.606306272397653,27.6752958858006,27.710867,27.716219,27.59057197570803,27.665704822540306,2111
50%,28.170915836664783,28.283917982430104,28.113876,28.106367,27.924896494547568,27.982058143615745,2111
75%,28.991180386196252,29.10529032403169,28.388477,28.425596,28.359527842203818,28.43727804819744,2111
95%,30.11571423526458,30.2766185676514,28.631424,28.603245,29.13899701436361,29.149513435363787,2111
5%,0.0,0.0,0.039567947,0.0022125244,0.0075409793653307,0.0040998542956458,3191
25%,0.2725149987135202,0.1975559951799337,1.2574415,1.396738,1.623996290763671,1.070144791413611,3191
50%,9.32509445628509,9.278995133841129,9.046059,8.9576235,9.119724212918186,8.247843182218332,3191
75%,18.35795801715857,18.296871197508967,18.346754,18.704159,18.19884499298223,18.174710313133914,3191
95%,22.83964881336544,22.750025150616253,23.51727,23.314734,24.21375783512832,23.981133439221026,3191
5%,7.252187138428607,7.3787870301731076,7.299588,7.2849436,7.359586073370849,7.3538673602790485,1913
25%,10.65772583891296,10.460228667548323,10.770769,10.778208,10.843710440093218,10.8233535584352,1913
50%,16.144475245227866,16.260904904784624,16.783712,16.768604,16.63575536277216,16.569002054699524,1913
75%,22.686826636976445,22.64984122689336,23.138908,22.925121,22.88851099152521,22.960888109601,1913
95%,27.111150511835238,26.767716910995404,25.973833,25.934948,26.35513768858442,26.356511442050437,1913
5%,20.13264467234721,20.90270999074992,19.914036,19.919552,19.954143778483115,21.07124385833742,833
25%,23.93762092332749,24.175734959596426,23.688362,23.757828,23.83037338256844,25.7071136792501,833
50%,26.65416571967716,26.725581134355387,26.73059,26.816702,26.957561111450214,27.52345174153649,833
75%,28.271967679970327,28.200323209232067,28.170496,28.274157,28.35756454467776,28.603668467203804,833
95%,29.89875077329007,29.726930037725,29.290533,29.31547,29.43524258931484,29.52436844507857,833
5%,16.72270960687076,16.907657409724038,16.473612,17.236156,17.18710289001467,17.221872965494804,975
25%,19.181420539714114,19.26700609812108,19.458813,19.763222,19.41660588582357,19.665624872843452,975
50%,24.127755198114244,24.11614032190334,22.372663,23.017502,22.791079457600915,24.40378882090252,975
75%,27.149216143535096,27.17000717063389,26.309174,26.497408,26.910482660929404,27.7951780319214,975
95%,28.36370803903092,28.42104218401534,28.534124,28.572552,29.20625139872237,29.431422392527303,975
5%,20.921741764479503,21.2948490625012,20.994211,21.025534,20.880034383138025,21.235752360026083,2271
25%,22.93830167796505,23.141039562292573,23.009764,23.103874,22.448557154337607,25.30875422159835,2271
50%,25.5810531634306,25.670689235896376,25.615788,25.812437,25.61849301656088,26.51727256774905,2271
75%,26.64583710360611,26.7051353507763,26.795832,26.60722,26.81263567606612,27.157468414306663,2271
95%,27.692315045448783,27.754811201190154,27.281591,27.097025,27.708645121256552,27.85876681009933,2271
5%,14.746732709417437,14.300298663483895,15.293567,15.880257,15.633908843994163,15.699845250447595,2427
25%,17.973944628503794,17.8653198550218,17.844324,17.428131,17.942953999837243,19.013002649943104,2427
50%,24.10185516141352,24.317539255840067,23.47465,23.559797,23.10001462300619,25.99931869506844,2427
75%,27.555822880255395,27.84372789940572,27.701637,27.787054,27.661045328776083,28.23094743092858,2427
95%,28.8077222090896,29.24295806623816,29.005451,28.959312,29.837351099650107,30.11138159434008,2427
5%,0.0,0.0,0.38948536,0.37919044,0.3232666072508436,0.321204752878009,2554
25%,2.394058137648499,2.4319494817241725,2.7171183,2.7041717,2.722561088882117,2.7040237350249186,2554
50%,8.503421966344135,8.434851441456457,8.313872,8.4262295,8.37840070295232,8.304691307234464,2554
75%,15.594040146934187,15.582719087685524,15.461916,15.426322,15.400257898692985,15.453763774167044,2554
95%,19.3219430434006,19.340064147620858,19.421314,19.408386,19.27887848600756,19.28552501230008,2554
5%,0.0,0.0,0.3006463,0.2091384,0.2046047210693586,0.17895091374715827,588
25%,1.1239850735760073,1.1174036059858845,1.5253005,1.5662696,1.4020846048991302,0.9586608568828154,588
50%,6.012156952509152,5.964470719709081,5.953534,6.15797,5.911339696248376,5.357409413655631,588
75%,10.603415121819337,10.58105497932724,10.713076,11.102843,10.649525578816736,10.136178747812934,588
95%,13.299301436488228,13.346693239816084,14.047024,13.654879,14.178484853108728,13.311526362101272,588
5%,15.583383490490624,15.586695374907428,15.744355,15.830749,15.658729171752952,15.560370381673215,957
25%,17.564759799517848,17.40250951032968,17.208765,17.266468,17.258011754353845,17.09560038248702,957
50%,21.000287052995468,21.04175010872435,20.75299,20.816414,20.654719289143884,20.654719289143884,957
75%,22.32886907894506,22.4718651990894,22.521475,22.62804,22.476447677612327,22.41300099690756,957
95%,23.47759206479042,23.532255863623032,23.958715,23.924816,24.02374992370608,23.895721817016625,957
5%,0.0,0.0,-0.17293692,-0.20568848,-0.0003417968749772,-0.0003417968749772,1632
25%,0.0,0.0,0.1629839,0.1692152,0.028803436111616,-0.0003417968749772,1632
50%,5.014280191731217,5.237752229345303,5.0818005,4.9286346,5.272424209348856,3.664564711262415,1632
75%,14.173760111987308,14.148086512737368,14.117437,14.319029,14.054161022292533,12.081472123716509,1632
95%,19.48216002385382,19.643707921728545,19.418228,19.14466,19.584310536999908,18.318069729224653,1632
5%,26.70758615489649,26.999956840414317,27.422148,27.376743,27.33426946004232,27.350433222452843,3007
25%,27.73323528138831,27.758813243633565,27.830772,27.739552,27.77376263936361,27.798456128438346,3007
50%,28.43492747865365,28.33422562781758,28.052631,28.004147,28.04416809082033,28.060625966390035,3007
75%,29.101659389844787,29.01300596418048,28.38372,28.37536,28.407794570922874,28.435070927937858,3007
95%,30.071757669201343,29.947027437818413,28.978783,28.876896,29.14075113932296,29.153006807963088,3007
5%,4.8007672883511,4.688827179737009,3.6748667,4.8501353,3.8607975006103743,3.3041305859883665,3200
25%,8.640124482902749,7.83048365611187,7.4885793,8.015455,7.7232528686523665,6.111803627014169,3200
50%,15.429272805459366,15.160624208039952,16.510235,16.278994,16.09944623311361,8.458724276224785,3200
75%,22.87679900082926,22.690775429894888,22.564638,21.82022,21.97302335103353,15.14098431269332,3200
95%,26.02353009646029,25.708862876554782,26.058464,22.992798,26.18868980407717,22.155462900797545,3200
5%,0.3048528118086065,0.4485175679716897,0.94731045,0.9668007,1.0112860361735443,0.9630250295003492,3208
25%,4.384358545113696,4.300414792863579,4.6251507,4.8000164,4.612458165486657,3.263606961568229,3208
50%,11.815890761648896,11.639722699737735,12.415206,12.205741,12.41083424886068,8.428996976216638,3208
75%,18.835006346999595,18.735247505816456,19.687115,19.709917,19.148886617024743,16.621037896474235,3208
95%,22.117789870190364,21.82003015815716,21.943287,21.467278,22.07925694783529,21.33523747126265,3208
5%,19.887117468147856,20.20792784152338,19.291386,19.349556,19.48055547078451,19.73893556594855,2313
25%,20.544603424775914,20.83903342974338,20.458857,20.496086,20.804297383626302,21.030315176645942,2313
50%,21.050524233873837,21.30141623723974,21.299025,21.392853,21.35352160135909,21.479673322041833,2313
75%,21.83896640281835,22.01352344703634,21.677616,21.773308,21.80092010498049,21.873992856343605,2313
95%,22.73478294513478,22.920054469149044,22.119856,22.097813,22.364530181884845,22.395121192932166,2313
5%,0.0,0.0,-0.30453348,-0.24447775,-0.0003417968749772,-0.0003417968749772,3379
25%,0.0,0.0,0.29623222,0.29499674,0.1066013336181868,-0.0003417968749772,3379
50%,6.0203790195403375,6.020160093735477,5.8715706,5.746509,6.13060022989913,3.818285242716513,3379
75%,14.603846086650156,14.69627851110471,14.708971,14.758398,14.560670471191427,11.733529027303064,3379
95%,19.395102982085483,20.11193266277837,20.187893,19.96217,20.179629898071312,18.723772048950227,3379
5%,6.895895092215451,7.078696364143903,6.6265717,6.6193733,6.448566055297874,6.607680702209478,1273
