cci_lake_id,a2w_t95,a2w_median,a2w_t05,a2w_tmax,a2w_cloud_t95,a2w_cloud_median,a2w_cloud_t05,a2w_cloud_tmax,lstm_t95,lstm_median,lstm_t05,lstm_tmax,lstm_cloud_t95,lstm_cloud_median,lstm_cloud_t05,lstm_cloud_tmax
367,0.0,0.0,13.26850761481347,14.191917333711565,0.0,0.0,13.221059958205483,14.129764423035361,-0.08986121317116001,0.2318991451,13.915357590999998,15.228814671071428,-0.08556307459079998,0.25453077754000003,13.866729044999994,14.955697015357144
669,0.0,0.4998003817662897,16.513924515545916,18.15330506311472,0.0,0.5857929533787992,16.40110844625315,18.10006057848135,-0.0586310453774,0.7563857317,16.876076811999997,18.434072452142853,-0.05907575423699998,0.7282306798,16.755651936,18.023863629999997
910,0.0,0.46124658129515955,17.50342489858188,19.191463303958084,0.0,0.4967667132046447,17.41087636157408,19.14304400340615,-0.0718882914282,0.5180742507999999,17.711336699999993,19.369836237857143,-0.08483788315799998,0.5351247383000001,17.612833631999994,19.18055197357143
68,0.0,0.0,14.25004718743435,15.700654725225847,0.0,0.0,14.116027224612058,15.53935392003586,-0.08843363356580002,0.13337666973999998,14.740750128999998,16.063888455714288,-0.09524713818679999,0.16405070754999998,14.695445837999998,15.896299161785715
635,0.0,0.0,15.804644338749311,19.29494411227774,0.0,0.0,15.889459877339881,19.71214359119854,-0.10796315865659999,0.0453488994857,16.119433695999998,18.056038428571426,-0.134267870384,0.062243449544999996,16.108366741,17.78049904142857
72,0.0,0.0,14.525763036323221,16.131088064539966,0.0,0.0,14.388683350839342,16.04678507879999,-0.07891216448863998,0.08715844861,14.983585457999995,16.439355188928573,-0.096708946716,0.11447560042,14.957674966999994,16.197651079642856
569,0.0,0.0,14.450038094062062,15.47416992055105,0.0,0.001099648116237881,14.35450576611472,15.384401540349595,-0.0882033797318,0.30930688856,15.277826740999997,16.776217865714287,-0.10417158600719999,0.37482881844000004,15.283826529999997,16.762325631428574
810,0.0,0.17814749732430074,18.055012891655885,20.10439916059876,0.0,0.13262973278644696,18.04760100052924,20.13034795774188,-0.0689578789512,0.39045688200000006,18.127469824,19.837984372142856,-0.07982314421999998,0.39182354320000007,18.099158447999997,19.706422340000003
672,0.0,0.6209333612360349,17.685970789227245,19.447863468873297,0.0,0.7075166389593923,17.695900055603285,19.56509288883935,-0.057110991405,0.5784830005,17.763559607999998,19.28723003214286,-0.059182051663059995,0.5241117891,17.779564022,19.250103864999996
684,0.0,0.033685600304877154,17.340811408719045,19.515107495229824,0.0,0.05306482840418971,17.27442292636394,19.445887983578118,-0.0734693545668,0.2948425297,17.503389809999998,19.667442195,-0.08459505919087999,0.3331853919,17.457254223999993,19.581066605000004
103,0.0,0.14777925650204515,12.774721045105393,14.30019097214272,0.0,0.22222406958516366,12.500861060537904,13.820826900917666,-0.0718483586822,0.40405841749999993,13.132918415999995,15.25895392535714,-0.07568197683179999,0.3873045519,13.069140741999997,14.831919407142857
172,0.0,0.038829126928881845,16.034093090455173,17.395857100095323,0.0,0.04941991748356158,15.81888497403692,17.1307046177962,-0.08501917263800002,0.3032459398,16.582437593999998,18.794644904642855,-0.09588675295639999,0.33811511365999997,16.577261929999995,18.624631751785717
782,0.0,0.0,14.918922235914119,16.298496250449915,0.0,0.0,14.784603834375371,16.09136420156504,-0.09097442250359998,0.11696859396,15.451696275999998,16.878956059285716,-0.09600074330159998,0.12812898600000003,15.401964014999999,16.740982663214282
